"id","title","description","startDate","endDate","ticketPrice","categories","authorId","createdAt","updatedAt"
1,"From Broadway to Backyards: A Musical Extravaganza","Immerse yourself in the world of musical theater as talented performers bring Broadway hits to a cozy backyard setting. A night of song, dance, and entertainment awaits!","2024-05-01T15:00:00.000Z","2024-05-01T21:00:00.000Z",205,"[12,8,4,19,3,18,2,14,7]",1,"2024-01-02T12:30:00.000Z","2024-01-02T12:30:00.000Z"
2,"Unmasking the Mysteries of the Universe: A Guided Stargazing Experience","Join us for an enchanting evening under the stars as we unravel the mysteries of the universe. Our expert guides will lead you through a mesmerizing stargazing experience.","2024-05-03T16:30:00.000Z","2024-05-03T21:30:00.000Z",813,"[15,9,7,5,17,12]",2,"2024-01-05T08:45:00.000Z","2024-01-05T08:45:00.000Z"
3,"Brushstrokes and Brews: Painting Party with Local Artists","Unleash your creativity at our painting party! Local artists will guide you through brushstrokes, and with a drink in hand, you'll create your own masterpiece to take home.","2024-05-06T14:45:00.000Z","2024-05-06T21:45:00.000Z",497,"[6,20,4,13,8]",3,"2024-01-08T18:15:00.000Z","2024-01-08T18:15:00.000Z"
4,"The Art of Fermentation: Craft Your Own Kombucha Workshop","Discover the art and science of fermentation in this hands-on workshop. Craft your own kombucha and explore the fascinating world of probiotics and good bacteria.","2024-05-10T15:15:00.000Z","2024-05-10T21:15:00.000Z",673,"[11,1,6,15,4,19]",15,"2024-01-11T14:20:00.000Z","2024-01-11T14:20:00.000Z"
5,"Culinary Canvas: International Food Truck Festival","Embark on a culinary adventure at our international food truck festival. Indulge in a variety of delicious dishes from around the world, served right from the trucks!","2024-05-15T16:00:00.000Z","2024-05-15T21:00:00.000Z",256,"[3,16,14,7]",18,"2024-01-14T10:50:00.000Z","2024-01-14T10:50:00.000Z"
6,"Beatboxing Basics: Learn the Art of Vocal Percussion","Learn the basics of beatboxing in this interactive workshop. Vocal percussion enthusiasts will guide you through the art, rhythm, and techniques of beatboxing.","2024-05-18T14:30:00.000Z","2024-05-18T21:30:00.000Z",354,"[18,5,2,11,9]",2,"2024-01-17T21:05:00.000Z","2024-01-17T21:05:00.000Z"
7,"From Pitch to Publication: Writing Workshop for Aspiring Authors","Aspiring authors, this one's for you! Join our writing workshop to navigate the journey from pitching your idea to getting your work published.","2024-05-22T15:45:00.000Z","2024-05-22T21:45:00.000Z",702,"[1,10,6,14,9,8,3]",29,"2024-01-20T16:40:00.000Z","2024-01-20T16:40:00.000Z"
8,"The History of Hip Hop: Dance Demonstration and Lecture","Dive into the history of hip hop with a dynamic dance demonstration and insightful lecture. Explore the cultural impact and evolution of this influential genre.","2024-05-26T16:30:00.000Z","2024-05-26T21:30:00.000Z",449,"[16,12,5,19,7,1]",21,"2024-01-23T07:25:00.000Z","2024-01-23T07:25:00.000Z"
9,"Upcycle Your Style: Clothing Swap and DIY Upcycling Workshop","Refresh your wardrobe sustainably! Participate in a clothing swap and join our DIY upcycling workshop to give old garments a new, stylish life.","2024-05-31T14:00:00.000Z","2024-05-31T21:00:00.000Z",157,"[3,8,14,6,20]",20,"2024-01-26T19:55:00.000Z","2024-01-26T19:55:00.000Z"
10,"From Farm to Fork: Sustainable Agriculture Tour and Cooking Class","Experience the journey from farm to fork in this sustainable agriculture tour. Learn about organic farming practices and enjoy a cooking class using fresh, local ingredients.","2024-06-05T15:30:00.000Z","2024-06-05T21:30:00.000Z",844,"[4,11,7,13,1,19]",16,"2024-01-29T13:10:00.000Z","2024-01-29T13:10:00.000Z"
